video_id,title,category_id,publish_time,views,likes,comment_count,region,language,publish_hour,like_ratio,comment_ratio,engagement_score,title_sentiment,viral
xRGnUsuHjNE,"Calvin Harris, John Newman - Blame (Lyrics)",10,2026-02-17 16:52:26+00:00,150423,360,5,BR,en,16,0.0023932510320895076,3.323959766790983e-05,0.0024264906297574176,0.0,0
aNMBgdDQWAA,JOGUEI e REVELEI TUDO sobre o MAIS QUEBRADO BRAWLER do BRAWL!,20,2026-02-23 15:00:02+00:00,199713,7288,334,BR,pt,15,0.0364923665459935,0.0016723998938476714,0.03816476643984117,0.0,0
NcfPwfFQLr4,"MC LELE JP, MC DR, DU’L - MOTELZIN (Murilo e LT) ",10,2026-02-17 03:47:36+00:00,25459,567,3,BR,it,3,0.022271102557052516,0.00011783652146588633,0.022388939078518404,0.0,0
i1OtQsgpyvY,PARECE UM JOGO FOFO PARA MENINAS MAS... ELA NÃO ME DEIXA SAIR.,20,2026-02-23 22:15:02+00:00,55519,3483,931,BR,pt,22,0.0627352798141177,0.016769034024388046,0.07950431383850573,0.0,0
hAwmWG4BxT0,"SEMI NUA 2 - MC Negão Original, MC GP, MC Ryan SP, MC Meno K, Aaron, MC RN do Capão e Du'L VISUALIZE",10,2026-02-23 18:58:34+00:00,7486,257,2,BR,pt,18,0.03433075073470478,0.0002671653753673524,0.03459791611007213,0.375,0
xu6NOxlVry0,VENDI ATÉ O CACHORRO POR ESSE JOGADOR NO FC MOBILE!? 😱🇧🇷,20,2026-02-23 22:00:57+00:00,68991,6210,260,BR,pt,22,0.09001174066182546,0.003768607499528924,0.09378034816135437,0.0,0
mvkx5vaLF6s,100 Louvores Para Encher Sua Alma Com Deus | Top Gospel 2026 Mais Tocadas- Louvores Gratidao De Deus,22,2026-02-23 09:01:59+00:00,14866,227,1,BR,pt,9,0.015269743037804385,6.72675904749092e-05,0.015337010628279295,0.5,0
uB_dFFAUncA,TROLLEI MEU AMIGO na TSUNAMI BRAINROT do BeamNG Drive!  ,20,2026-02-23 17:30:18+00:00,91217,2141,93,BR,pt,17,0.023471502022649287,0.001019546795005317,0.024491048817654605,0.0,0
X1nQic1nVDI,"ATLXS, DJ FKU - MONTAGEM REBOLA (SUPER SLOWED) Lyrics",22,2026-02-19 13:00:59+00:00,634333,3494,63,BR,en,13,0.005508147928611628,9.931692029265386e-05,0.005607464848904282,0.3333333333333333,0
RrqdRJeC52A,SOBREVIVEMOS como ÁGUA LAVA E GELO no minecraft,20,2026-02-23 14:45:04+00:00,123917,3443,72,BR,pt,14,0.027784726873633158,0.0005810340792627324,0.02836576095289589,0.0,0
9gliJdXEl-8,MONTAGEM REBOLA (Slowed),10,2026-02-20 18:05:03+00:00,361308,2648,0,BR,en,18,0.007328927120351611,0.0,0.007328927120351611,0.0,0
teVpmaKN8JA,FUI HUMILHADA POR SER A MENOR MINHOCA DO ROBLOX,24,2026-02-23 14:01:17+00:00,97422,1883,86,BR,en,14,0.019328283139331978,0.0008827574880417154,0.020211040627373694,0.0,0
i6QaYhTXwpU,*NSYNC - Bye Bye Bye // Lyrics / Sub. Español,22,2026-02-16 22:00:48+00:00,796193,3838,25,BR,es,22,0.004820439265354004,3.1399421999439837e-05,0.004851838687353443,0.0,1
ZpFYxVzgoQA,Descobri FORMAS IMPOSSÍVEIS de morrer no minecraft,20,2026-02-23 21:00:42+00:00,83643,4966,234,BR,es,21,0.059371375966906975,0.0027976041031526847,0.06216898007005966,0.0,0
uJBfVeMsuOw,Vitor Santana - Vai Com Medo Mesmo (Ao vivo),10,2026-02-17 14:00:29+00:00,52932,1125,23,BR,pt,14,0.02125368397188846,0.000434519761203053,0.021688203733091514,0.0,0
Xj-LkAc6TOE,"""O Coxão GULOSO do 1006!"" Os MEMES de Poppy Playtime 5 começaram e eu RACHEI de RIR",20,2026-02-23 15:30:06+00:00,150773,12273,742,BR,pt,15,0.08140051600750797,0.004921305538790102,0.08632182154629808,0.0,0
QWFIz75ad6I,NCT JNJM 엔시티 제노재민 'BOTH SIDES' MV,10,2026-02-23 09:00:09+00:00,1120429,150852,8543,BR,ko,9,0.1346377146610807,0.007624758016795352,0.14226247267787606,0.0,1
1Lmy7qwmSMc,IVE 아이브 'BLACKHOLE' MV,10,2026-02-23 09:00:12+00:00,4122218,217986,14602,KR,vi,9,0.052880754972201856,0.0035422677791421995,0.05642302275134406,0.0,1
9ryVkW-XkwM,새로운 스파이더맨이 왔습니다 ㄷㄷ ≪스파이더 누아르≫ 공식 예고편 떡밥 총정리,1,2026-02-23 07:11:51+00:00,142705,2524,329,KR,ko,7,0.01768683648085211,0.0023054553099050488,0.019992291790757157,0.0,0
Cr92ET2hjno,첫 수업에 손절당할 뻔 했습니다 [마크 하드코어 EP.11],20,2026-02-23 11:24:40+00:00,294480,6447,1068,KR,ko,11,0.02189282803585982,0.0036267318663406683,0.02551955990220049,0.0,0
YfiJDJKt3fE,BLACKHOLE,10,2026-02-23 09:04:27+00:00,259501,3947,132,KR,de,9,0.015209960655257591,0.0005086685600440846,0.015718629215301674,0.0,0
PFt4ETh8648,이서진의 달라달라 | 공식 티저 예고편 | 넷플릭스,24,2026-02-24 00:02:31+00:00,53737,1161,132,KR,ko,0,0.02160522544987625,0.0024564080614846383,0.024061633511360887,0.0,0
lDQNTVZETwQ,[ 불도그 LIVE 생방송 2/23 ] 리니지 리셋,20,2026-02-23 11:37:06+00:00,292771,2837,122,KR,ko,11,0.009690167400459745,0.00041670793896936514,0.01010687533942911,0.13636363636363635,0
QWFIz75ad6I,NCT JNJM 엔시티 제노재민 'BOTH SIDES' MV,10,2026-02-23 09:00:09+00:00,1120429,150852,8543,KR,ko,9,0.1346377146610807,0.007624758016795352,0.14226247267787606,0.0,1
e-vLdRgucm0,아너 : 그녀들의 법정 | 7회 예고편 | 쿠팡플레이 | 쿠팡,24,2026-02-22 10:01:01+00:00,19936,31,12,KR,ko,10,0.001554975922953451,0.0006019261637239165,0.0021569020866773676,0.0,0
uh5Ao7-A-us,리니지클래식 4셋기사 제길...ㅋㅋ,20,2026-02-23 16:05:30+00:00,324540,2098,0,KR,ko,16,0.0064645344179454,0.0,0.0064645344179454,0.0,0
Q4AE3ub4nBM,RUDE!,10,2026-02-20 09:02:00+00:00,1866457,45026,1515,KR,en,9,0.024123781046121073,0.0008116983139713371,0.02493547936009241,-0.375,1
DlakzdUA3Jk,리니지 클래식.. 레전드 축젤 강화 ㄷㄷ 초대박.. 돈 벌었습니다 !,20,2026-02-23 07:08:08+00:00,163973,1253,305,KR,ko,7,0.007641501954590085,0.0018600623273343781,0.009501564281924463,0.0,0
wpFFNMTO9dM,Early Spring,10,2026-02-22 09:03:12+00:00,101445,2129,46,KR,en,9,0.020986741584109615,0.00045344768100941395,0.02144018926511903,0.1,0
WGrREed6pL8,CK 전패중인 김민교 구하러 온 최강 라인업,20,2026-02-23 13:04:25+00:00,177428,1096,191,KR,ko,13,0.006177153549608855,0.0010764929999774557,0.007253646549586311,0.0,0
kjsqqLtv6NA,안녕이란 슬픈 말,10,2026-02-23 09:03:49+00:00,26408,3199,533,KR,ko,9,0.12113753408058164,0.020183277794607695,0.14132081187518933,0.0,0
2CJLttC0n14,파피 챕터5 스피드런 40분대 성공 했습니다!!,20,2026-02-23 08:23:57+00:00,272387,4427,414,KR,ko,8,0.016252611174542103,0.0015198963239802194,0.017772507498522324,0.0,0
aq08y9ebFQs,"요네즈 켄시&우타다 히카루 - JANE DOE 🎵""저 가수입니다🎤"" by강남 (with. IVE 리즈)",24,2026-02-19 10:00:04+00:00,2174776,106980,4792,KR,ko,10,0.049191273032257114,0.0022034453203456355,0.05139471835260275,0.0,1
